Measure,Metric,Metric_Weight,Metric_Description,Extraction_Rule,Evaluation_Rule,Extraction_Rule_value,Score
availability,responseTimeLatestMillis,4,Response time (in milliseconds) of the latest monitoring request.,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//responseTime//latest//millis', 'value': 'text'}","{'type': 'range', 'minimum': 0, 'maximum': 3600000, 'description': 'We assume it should be at most 1h. Null if no monitoring data is available for the period.'}",553,5
availability,serviceInfoUrl,0,URL of the service endpoint in question,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//serviceInfo//url', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of URL.'}",https://wms.geonorge.no/skwms1/wms.hoyde-dtm-nhm-25833?,5
availability,serviceInfoType,0,"Type of service (WMS, WFS, WMTS, ArcGIS, REST, or INSPIRE_ATOM)","{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//serviceInfo//type', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of type of service.'}",WMS,5
availability,serviceInfoVersion,0,Version of service endpoint (newest supported version in case of OGC services,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//serviceInfo//version', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of version.'}",1.3.0,5
missingItem,itemMissing,5,Indication of omission,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:Completeness//gmd:Omission//gmd:itemMissing', 'value': 'text'}","{'type': 'presence', 'description': 'Checks indication of omission'}",yes,5
missingItem,itemMissingCount,1,Number of missing item,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:Completeness//gmd:Omission//gmd:count', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 1000, 'operator': '<', 'description': 'We assume it should be at most 1000 (number chosen randomly, user input parameter ?).'}",2,5
missingItem,itemMissingRate,7,Proportion of missing item,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:Completeness//gmd:Omission//gmd:rate', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 15, 'operator': '<', 'description': 'We assume it should be at most 15% (user input parameter ?).'}",1.3,5
itemDuplicate,itemDuplicate,5,Number of duplicate item,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:Completeness//gmd:Commission//gmd:itemDuplicate', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 100, 'operator': '<', 'description': 'We assume it should be at most 100 (number chosen randomly, user input parameter ?).'}",0,5
dateLastEvalQAA,dateLastEvalQAA,5,Date of last evaluation,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:QuantitativeAttributeAccuracy//gmd:date_evaluation//gco:date', 'value': 'text'}","{'type': 'date', 'minimum': '2000-01-01', 'maximum': '2023-01-01', 'description': 'Should be between 2000-01-01 and 2023-01-01 (defined by user)'}",,0
AttributeValueUncertainty,AVU68,5,"Attribute value uncertainty at 68,3 % significance level","{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:QuantitativeAttributeAccuracy//gmd:AttributeValueUncertaincy//gmd:sigmaUn', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 0.5, 'operator': '>', 'description': 'Half length of the interval defined by an upper and a lower limit, in which the true value for the quantitative attribute lies with probability 68,3 % ; LE68.3 (ISO19157, Table D.78)'}",,0
AttributeValueUncertainty,AVU95,5,Attribute value uncertainty at 95 % significance level,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:QuantitativeAttributeAccuracy//gmd:AttributeValueUncertaincy//gmd:sigmaDeux ', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 0.5, 'operator': '>', 'description': 'Half length of the interval defined by an upper and a lower limit, in which the true value for the quantitative attribute lies with probability 95 % ; LE95 (ISO19157, Table D.81)'}",,0
dateLastEvalNQAC,dateLastEvalNQAC,5,Date of last evaluation,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:NonQuantitativeAttributeCorrectness//gmd:date_evaluation//gco:date', 'value': 'text'}","{'type': 'date', 'minimum': '2000-01-01', 'maximum': '2023-01-01', 'description': 'Should be between 2000-01-01 and 2023-01-01 (defined by user)'}",,0
missclassNQAC,missclassRateNQAC,7,Proportion of missclassification for non-quantitative attributes,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:NonQuantitativeAttributeCorrectness//gmd:missclassification//gmd:rate', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 15, 'operator': '<', 'description': 'We assume it should be at most 15% (user input parameter ?).'}",,0
missclassNQAC,missclassCountNQAC,1,Missclassification count for non-quantitative attributes,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:NonQuantitativeAttributeCorrectness//gmd:missclassification//gmd:count', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 100, 'operator': '<', 'description': 'We assume it should be at most 100 (number chosen randomly, user input parameter ?).'}",,0
dateLastEvalThematicQuality,dateLastEvalThematicQuality,5,Date of last Evaluation.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:ClassificationCorrectness//gmd:date_evaluation//gco:date', 'value': 'text'}","{'type': 'date', 'minimum': '2000-01-01', 'maximum': '2023-01-01', 'description': 'Should be between 2000-01-01 and 2023-01-01 (defined by user)'}",2021-10-01,5
missclassTCC,missclassRateTCC,7,Proportion of incorrectly classified item,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:ClassificationCorrectness//gmd:missclassification//gmd:rate', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 15, 'operator': '<', 'description': 'We assume it should be at most 15% (user input parameter ?).'}",2.2,5
missclassTCC,NumberIncorrectItemsTCC,1,Number of item with incorrect classification,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:ClassificationCorrectness//gmd:missclassification//gmd:count', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 100, 'operator': '<', 'description': 'We assume it should be at most 100 (number chosen randomly, user input parameter ?).'}",52,5
FailsOGC,FailsOGCValid,5,The feature must follow OGC Valid principles.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Fails OGC Valid', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 1000, 'description': 'The feature do not follow OGC Valid principles. Checks count of such errors.'}",0,5
FailsOGC,FailsOGCSimple,5,The feature must follow OGC Simple principles.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Fails OGC Simple', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 1000, 'description': 'The feature do not follow OGC Simple principles. Checks count of such errors.'}",947,5
MissingVertexNormals,MissingVertexNormals,5,The feature must have a vertex normals.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Missing Vertex Normals', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'The feature has no vertex normals. Checks count of such errors.'}",2430,1
SurfacesWronglyOriented,SurfacesWronglyOriented,5,All normals of the faces must be logically oriented.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'SurfacesWronglyOriented', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'Is the every surface of the feature logically oriented based on vertex normals and depending on the feature type? Checks count of such errors.'}",0,5
AttributeValueNotInAllowedRange,AttributeValueNotInAllowedRange_TrueFalse,5,The value of the attribute XXX must be in the allowed range (A-N). Allowed ranges were derived from OGC CityGML Encoding Standard.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'ValueNotInAllowedRange', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 10, 'description': 'At least X attribute(s) is/are not in allowed range. Checks count of such errors.'}",0,5
MismatchedDimensions,MismatchedDimensions,5,"Geometries must be either 2D or 3D, not both.","{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Mismatched Dimensions', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 1, 'description': 'Does the feature have a mixture of 2D and 3D parts? Checks count of such errors.'}",0,5
Not3D,Not3D,5,The coordinate reference system must be 3D.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Not3D', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 1, 'description': 'Is the coordinate reference system 3D? Checks count of such errors.'}",0,5
WrongDataType,WrongDataType,5,Data type of attribute information XXX must be valid.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'WrongDataType', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 5, 'description': 'At least X attribute(s) has/have a wrong data type. Checks count of such errors.'}",0,5
GroundOverlappingIn2D,GroundOverlappingIn2D,5,Overlapping area of two features must be smaller than 5 % of their areas. ,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'GroundOverlappingIn2D', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'Is the GroundSurface overlapping with the GroundSurface of another Building? ? Checks count of such errors.'}",10,5
DegenerateCorruptGeometries,DegenerateCorruptGeometries,5,The geometry must be valid.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Degenerate or Corrupt Geometries', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'Does the geometry contain degenerated or corrupted geometries? Checks count of such errors.'}",2156,1
NonPlanarSurfaces,NonPlanarSurfaces,5,The face or BoundarySurface must be planar.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Non-Planar Surfaces', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'Is the Face or BoundarySurface planar based on thickness or normal deviation? Checks count of such errors.'}",0,5
GroundHigherThanRoof,MinGroundHigherThanMinRoof,5,The minimum height of the roof cannot be smaller than minimum height of the ground.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'MinGroundHigherThanMinRoof', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'Checks count of such errors.'}",0,5
GroundHigherThanRoof,MaxGroundHigherThanMaxRoof,5,The maximum height of the floor cannot be smaller than maximum height of the roof.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'MaxGroundHigherThanMaxRoof', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'Checks count of such errors.'}",0,5
FeatureHasSpikes,FeatureHasSpikes,5,"The feature contains spikes, which angle or length exceeds the given tolerance.","{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'FeatureHasSpikes', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'The feature cannot contain spikes less than X degrees and/or Y meters (user ?).'}",0,5
GeometryTooSmall,AreaTooSmall,5,The area of the face must be at least X mÂ².,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'AreaTooSmall', 'value': 'text'}","{'type': 'comparison', 'operator': '>', 'referenceValue': 50, 'description': 'The area of the face must be at least X mÂ² (user request? / user parameter in FME)'}",2296,5
GeometryTooSmall,TooSmallVolume,5,The volume of the solid cannot be smaller than X m3.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'TooSmallVolume', 'value': 'text'}","{'type': 'comparison', 'operator': '>', 'referenceValue': 50, 'description': 'The volume of the solid must be greater than X m3. (user request? / user parameter in FME)'}",0,1
Orientation,Incorrect Surface Orientation,5,The surface must have a valid orientation.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Incorrect Surface Orientation', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'The surfaces cannot have an incorrect orientation.'}",0,5
Orientation,Incorrect Solid Orientation,5,The solid must have a valid orientation.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Incorrect Solid Orientation', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'The solids cannot have an incorrect orientation.'}",0,5
Orientation,Incorrect Area Orientation,5,The areas must have a valid orientation.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Incorrect Orientation', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'Do Areas, such as polygons, ellipses, and donuts, have an correct orientation? The area cannot have an incorrect orientation.'}",0,5
MissingConnections,CountMC,5,The feature must be self-closure based on its starting and ending points.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'EndtoStartPoint', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'The feature is not self-closure.'}",0,5
InvalidSolidVoids,CountISV,5,The solid must be valid.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'InvalidSolidVoids', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'The solid cannot contain problems.'}",0,5
InvalidSelfInterestOverlapErrors,CountISISO,5,The vertices of the feature must be correctly connected,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Self-Intersections in 2D', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50000, 'description': 'The feature cannot intersect itself.'}",11412,5
InvalidSolidBoundaries,CountISB,5,The solid boundaries must be valid.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Invalid Solid Boundaries', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'The solid boundaries cannot be invalid.'}",0,5
TimeAccuracy,TimeAccuracyLE90,5,Time accuracy at 90 % significance level,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:TemporalQuality//gmd:AccuracyTimeMeasurment//gmd:TimeAccuracy//gmd:TimeAccuracyLE90', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 0.5, 'operator': '>', 'description': 'Half length of the interval defined by an upper and a lower limit, in which the true value for the time instance lies with probability 90 %; LE90 (ISO19157, Table D.63)'}",92,5
ChronologicalOrder,TimeAccuracyLE99.8,5,"Time accuracy at 99,8 % significance level","{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:TemporalConsistency//gmd:ChronologicalOrder//gmd:TimeAccuracyLE99.8', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 0.5, 'operator': '>', 'description': 'Half length of the interval defined by an upper and a lower limit, in which the true value for the time instance lies with probability 99.8 %; LE99.8 (ISO19157, Table D.67)'}",98,5
Currentness,DateOfCreation,5,Date of creation,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': ""//gmd:identificationInfo[1]//gmd:citation//gmd:CI_Date[gmd:dateType/gmd:CI_DateTypeCode/@codeListValue='creation']/gmd:date/gco:Date"", 'value': 'text'}","{'type': 'date', 'minimum': '2015-01-01', 'maximum': '2023-01-01', 'description': 'Date of creation should be included in user requested period'}",0001-01-01,1
Currentness,DateOfPublication,5,Date of publication,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': ""//gmd:identificationInfo[1]//gmd:citation//gmd:CI_Date[gmd:dateType/gmd:CI_DateTypeCode/@codeListValue='publication']/gmd:date/gco:Date"", 'value': 'text'}","{'type': 'date', 'minimum': '2016-01-01', 'maximum': '2023-01-01', 'description': 'Date of publication should be included in user requested period'}",2017-01-15,2
Currentness,DateOfRevision,5,Date of revision declared in the Metadata,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': ""//gmd:identificationInfo[1]//gmd:citation//gmd:CI_Date[gmd:dateType/gmd:CI_DateTypeCode/@codeListValue='revision']/gmd:date/gco:Date"", 'value': 'text'}","{'type': 'date', 'minimum': '2022-01-01', 'maximum': '2023-01-01', 'description': 'Date of last revision should be included in user requested period'}",2022-10-10,3
MaintenanceFrequency,MatchMaintenanceFreqRequested,9,Checks that the requested maintenance frequency by the user matches the declared maintenance frequency,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:MD_Metadata //gmd:identificationInfo//gmd:MD_DataIdentification//gmd:resourceMaintenance//gmd:MD_MaintenanceInformation//gmd:maintenanceAndUpdateFrequency//gmd:MD_MaintenanceFrequencyCode/@codeListValue', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 'continual', 'operator': 'is', 'description': 'Should return true if matches user request of maintenance requency. Should be implemented when requests on dahsboard can be personnalized.'}",continual,5
MeanValuePosUncertainties,MeanValuePosUncertainties,5,Mean value of positionnal uncertainty of the dataset,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:PositionalAccuracy//gmd:AbsolutePositionalAccuracy//gmd:MeanValuePositionalUncertainties', 'value': 'text'}","{'type': 'range', 'minimum': 0, 'maximum': 0.8, 'description': 'Mean value of positionnal uncertainty should be between 0m and 0.8m (user request)'}",0.02,5
RelativeVerticalError,RelativeVerticalError,5,"A comparison of the data (measured) and the control (true). Calculation method of the Relative LE (Rel LE90): see ISO19157-3, Table D.59","{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:PositionalAccuracy//gmd:RelativePositionalAccuracy//gmd:RelativeVerticalError', 'value': 'text'}","{'type': 'range', 'minimum': 0, 'maximum': 0.9, 'description': 'The vertical relative error should be between x and x (user request)'}",0.05,5
RelativeHorizontalError,RelativeHorizontalError,5,"A comparison of the data (measured) and the control (true). Calculation method of the Relative LE (Rel CE90): see ISO19157-3, Table D.60","{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:PositionalAccuracy//gmd:RelativePositionalAccuracy//gmd:RelativeHorizontalError', 'value': 'text'}","{'type': 'range', 'minimum': 0, 'maximum': 0.9, 'description': 'The horizontal relative error should be between x and x (user request)'}",0.001,5
CircularSD,CircularSD,5,"Radius describing a circle, in which the true point location lies with the probability of a normal distribution at 39,4 % (see ISO19157-3, Table D.49)","{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:PositionalAccuracy//gmd:GriddedPositionalAccuracy//gmd:CircularSD', 'value': 'text'}","{'type': 'range', 'minimum': 0, 'maximum': 0.9, 'description': 'The circular standard deviation should be between x and x (user request)'}",0.03,5
RMSErrorPlanimetry,RMSEPlanimetry,5,"Radius of a circle around the given point, in which the true value lies with probability P [ISO 19157-3:2021].s","{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:PositionalAccuracy//gmd:GriddedPositionalAccuracy//gmd:RMSEPlanimetry', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 20, 'operator': '<', 'description': 'The circular standard deviation should be under 20m (user request)'}",21,4
equivalentScale,equivalentScale,5,Level of detail expressed as the scale denominator of a comparable hardcopy map or chart. Each spatialResoultion element must contain either an equivalent scale or a distance but not both,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo[1]//gmd:spatialResolution//gmd:equivalentScale//gmd:denominator', 'value': 'text'}","{'type': 'range', 'minimum': 490, 'maximum': 510, 'description': 'Map scale should be between 1/4900 and 1/5100 (user request).'}",500,5
distance,Distance,5,Ground sample distance. Each 'spatialResoultion' element must contain either an equivalent scale or a distance but not both,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo[1]//gmd:spatialResolution//gmd:distance', 'value': 'text'}","{'type': 'range', 'minimum': 15, 'maximum': 20, 'description': 'Distance should be between 15-20m (user request).'}",25.0,1
