Measure,Metric,Metric_Weight,Metric_Description,Extraction_Rule,Evaluation_Rule,Extraction_Rule_value,Score
Coordinate Reference System (relevance),East Bound Longitude (relevance),5,Parameter must be set,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo//gmd:extent//gmd:geographicElement//gmd:eastBoundLongitude', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 25, 'operator': '<', 'description': 'Checks whether the dataset encompasses the right area according to user input.'}",33.67,1.0
Coordinate Reference System (relevance),South Bound Latitude (relevance),5,Parameter must be set,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:identificationInfo//gmd:extent//gmd:geographicElement//gmd:southBoundLatitude', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 60, 'operator': '>', 'description': 'Checks whether the dataset encompasses the right area according to user input.'}",57.47,4.0
Coordinate Reference System (relevance),North Bound Latitude (relevance),5,Parameter must be set,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '///gmd:identificationInfo//gmd:extent//gmd:geographicElement//gmd:northBoundLatitude', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 65, 'operator': '<', 'description': 'Checks whether the dataset encompasses the right area according to user input.'}",70.85,3.0
Availability,Days Of Availability Metrics,0,For how many days availability statistics and interruptions are calculated,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//daysOfAvailabilityMetrics', 'value': 'text'}","{'type': 'presence', 'description': 'Checks presence'}",180,5.0
Availability,Days Of Response Time Metrics,0,For how many days response time metrics are calculated,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//daysOfResponseTimeMetrics', 'value': 'text'}","{'type': 'presence', 'descripiton': 'Checks presence'}",14,5.0
Availability,Service Id,0,Service ID,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//serviceId', 'value': 'text'}","{'type': 'presence', 'description': 'Checks presence'}",164572,5.0
Availability,Availability ok (ms),1,Contains the number of milliseconds the service has been in 'ok' state during the period,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//availability//total//ok', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of measure'}",12620294442,5.0
Availability,Availability down (ms),1,Contains the number of milliseconds the service has been in 'ok' state during the period,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//availability//total//down', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of measure'}",38721107,5.0
Availability,Availability maintenance (ms),1,Contains the number of milliseconds the service has been in 'ok' state during the period,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//availability//total//maintenance', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of measure'}",0,5.0
Availability,Availability,8,Contains the number of milliseconds the service has been in available (meaning ok or in maintenance state) during the period,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '(//services//availability//total//ok + //services//availability//total//maintenance) div (//services//availability//total//ok + //services//availability//total//maintenance + //services//availability//total//down)', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 0.95, 'operator': '>', 'description': 'We assume the service should be available state at least 95% of the time from when the statistics are calculated. Availability = (ok + maintenance) / (ok + down + maintenance)'}",0,1.0
Availability,Longest Interruptions,4,The length in milliseconds of the longest interruption during or overlapping 'daysOfAvailabilityMetrics',"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//interruptions//longest', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 86400000, 'operator': '<', 'description': 'We assume it should be at most 24h. Null if no monitoring data is available for the period.'}",18899029,5.0
Availability,Average Interruptions,4,The average length of service interruptions during or overlapping 'daysOfAvailabilityMetrics',"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//interruptions//average', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 43200000, 'operator': '<', 'description': 'We assume it should be at most 12h. Null if no monitoring data is available for the period.'}",2431021.7,5.0
Availability,Response Time Average,4,Average response time (in milliseconds) of service during 'daysOfResponseTimeMetrics'.,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//responseTime//averageMillis', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 21600000, 'operator': '<', 'description': 'We assume it should be at most 6h. Null if no monitoring data is available for the period.'}",361.85,5.0
Availability,Response Time Latest At,4,Timestamp of latest monitoring request (in milliseconds since epoch).,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//responseTime//latest//at', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of timestamp. Null if no monitoring data is available for the period.'}",1680227282873,5.0
Availability,Response Time Latest Millis,4,Response time (in milliseconds) of the latest monitoring request.,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//responseTime//latest//millis', 'value': 'text'}","{'type': 'range', 'minimum': 0, 'maximum': 3600000, 'description': 'We assume it should be at most 1h. Null if no monitoring data is available for the period.'}",296,5.0
Availability,Service Info Url,0,URL of the service endpoint in question,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//serviceInfo//url', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of URL.'}",https://wfs.geonorge.no/skwms1/wfs.inspire-bu-core2d_limited?,5.0
Availability,Service Info Type,0,"Type of service (WMS, WFS, WMTS, ArcGIS, REST, or INSPIRE_ATOM)","{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//serviceInfo//type', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of type of service.'}",WFS,5.0
Availability,Service Info Version,0,Version of service endpoint (newest supported version in case of OGC services,"{'type': 'xpath', 'source': 'service-availability', 'url_start': 'https://beta.spatineo-devops.com/api/public/geoe3-dashboard?privateAccessKey=RoYjl8a3NbJ3tx1Hh0-IK6iP55i3YnAhSpcWcD2xgwSE8jBBP0EA9Q&serviceIds=', 'rule': '//services//serviceInfo//version', 'value': 'text'}","{'type': 'presence', 'description': 'Check presence of version.'}",2.0.0,5.0
Missing Item,Item Missing,5,Indication of omission,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:Completeness//gmd:Omission//gmd:itemMissing', 'value': 'text'}","{'type': 'presence', 'description': 'Checks indication of omission'}",yes,5.0
Missing Item,Item Missing Count,1,Number of missing item,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:Completeness//gmd:Omission//gmd:count', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 1000, 'operator': '<', 'description': 'We assume it should be at most 1000 (number chosen randomly, user input parameter ?).'}",2,5.0
Missing Item,Item Missing Rate,7,Proportion of missing item,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:Completeness//gmd:Omission//gmd:rate', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 15, 'operator': '<', 'description': 'We assume it should be at most 15% (user input parameter ?).'}",1.3,5.0
Item Duplicate,Item Duplicate,5,Number of duplicate item,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:Completeness//gmd:Commission//gmd:itemDuplicate', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 100, 'operator': '<', 'description': 'We assume it should be at most 100 (number chosen randomly, user input parameter ?).'}",0,5.0
Date Last Evaluation (QAA),Date Last Evaluation (QAA),5,Date of last evaluation,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:QuantitativeAttributeAccuracy//gmd:date_evaluation//gco:date', 'value': 'text'}","{'type': 'date', 'minimum': '2000-01-01', 'maximum': '2023-01-01', 'description': 'Should be between 2000-01-01 and 2023-01-01 (defined by user)'}",,0.0
Attribute Value Uncertainty,AVU 68.3%,5,"Attribute value uncertainty at 68,3 % significance level","{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:QuantitativeAttributeAccuracy//gmd:AttributeValueUncertaincy//gmd:sigmaUn', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 0.5, 'operator': '>', 'description': 'Half length of the interval defined by an upper and a lower limit, in which the true value for the quantitative attribute lies with probability 68,3 % ; LE68.3 (ISO19157, Table D.78)'}",,0.0
Attribute Value Uncertainty,AVU 95%,5,Attribute value uncertainty at 95 % significance level,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:QuantitativeAttributeAccuracy//gmd:AttributeValueUncertaincy//gmd:sigmaDeux ', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 0.5, 'operator': '>', 'description': 'Half length of the interval defined by an upper and a lower limit, in which the true value for the quantitative attribute lies with probability 95 % ; LE95 (ISO19157, Table D.81)'}",,0.0
Date Last Evaluation (NQAC),Date Last Evaluation (NQAC),5,Date of last evaluation,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:NonQuantitativeAttributeCorrectness//gmd:date_evaluation//gco:date', 'value': 'text'}","{'type': 'date', 'minimum': '2000-01-01', 'maximum': '2023-01-01', 'description': 'Should be between 2000-01-01 and 2023-01-01 (defined by user)'}",,0.0
Missclassification (NQAC),Missclassification Rate (NQAC),7,Proportion of missclassification for non-quantitative attributes,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:NonQuantitativeAttributeCorrectness//gmd:missclassification//gmd:rate', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 15, 'operator': '<', 'description': 'We assume it should be at most 15% (user input parameter ?).'}",,0.0
Missclassification (NQAC),Missclassification Count (NQAC),1,Missclassification count for non-quantitative attributes,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:NonQuantitativeAttributeCorrectness//gmd:missclassification//gmd:count', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 100, 'operator': '<', 'description': 'We assume it should be at most 100 (number chosen randomly, user input parameter ?).'}",,0.0
Date Last Evaluation Thematic Quality,Date Last Evaluation Thematic Quality,5,Date of last Evaluation.,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:ClassificationCorrectness//gmd:date_evaluation//gco:date', 'value': 'text'}","{'type': 'date', 'minimum': '2000-01-01', 'maximum': '2023-01-01', 'description': 'Should be between 2000-01-01 and 2023-01-01 (defined by user)'}",2021-10-01,5.0
Missclassification (TCC),Missclassification Rate (TCC),7,Proportion of incorrectly classified item,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:ClassificationCorrectness//gmd:missclassification//gmd:rate', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 15, 'operator': '<', 'description': 'We assume it should be at most 15% (user input parameter ?).'}",2.2,5.0
Missclassification (TCC),Number of Incorrect Items (TCC),1,Number of item with incorrect classification,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '/gmd:MD_Metadata//gmd:dataQuality//gmd:ThematicQuality//gmd:ClassificationCorrectness//gmd:missclassification//gmd:count', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 100, 'operator': '<', 'description': 'We assume it should be at most 100 (number chosen randomly, user input parameter ?).'}",52,5.0
FailsOGC,Fails OGC Valid,5,The feature must follow OGC Valid principles.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Fails OGC Valid', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 1000, 'description': 'The feature do not follow OGC Valid principles. Checks count of such errors.'}",0,5.0
FailsOGC,Fails OGC Simple,5,The feature must follow OGC Simple principles.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Fails OGC Simple', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 1000, 'description': 'The feature do not follow OGC Simple principles. Checks count of such errors.'}",947,5.0
Missing Vertex Normals,MissingVertexNormals,5,The feature must have a vertex normals.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Missing Vertex Normals', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'The feature has no vertex normals. Checks count of such errors.'}",2430,1.0
Surfaces Wrongly Oriented,Surfaces Wrongly Oriented,5,All normals of the faces must be logically oriented.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'SurfacesWronglyOriented', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'Is the every surface of the feature logically oriented based on vertex normals and depending on the feature type? Checks count of such errors.'}",0,5.0
Attribute Value Not In Allowed Range,Attribute Value Not In Allowed Range : True or False,5,The value of the attribute XXX must be in the allowed range (A-N). Allowed ranges were derived from OGC CityGML Encoding Standard.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'ValueNotInAllowedRange', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 10, 'description': 'At least X attribute(s) is/are not in allowed range. Checks count of such errors.'}",0,5.0
Mismatched Dimensions,Mismatched Dimensions,5,"Geometries must be either 2D or 3D, not both.","{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Mismatched Dimensions', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 1, 'description': 'Does the feature have a mixture of 2D and 3D parts? Checks count of such errors.'}",0,5.0
Not 3D,Not 3D,5,The coordinate reference system must be 3D.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Not3D', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 1, 'description': 'Is the coordinate reference system 3D? Checks count of such errors.'}",0,5.0
Wrong Data Type,Wrong Data Type,5,Data type of attribute information XXX must be valid.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'WrongDataType', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 5, 'description': 'At least X attribute(s) has/have a wrong data type. Checks count of such errors.'}",0,5.0
Ground Overlapping In 2D,GroundOverlappingIn2D,5,Overlapping area of two features must be smaller than 5 % of their areas. ,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'GroundOverlappingIn2D', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'Is the GroundSurface overlapping with the GroundSurface of another Building? ? Checks count of such errors.'}",10,5.0
Degenerate Corrupt Geometries,Degenerate Corrupt Geometries,5,The geometry must be valid.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Degenerate or Corrupt Geometries', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'Does the geometry contain degenerated or corrupted geometries? Checks count of such errors.'}",2156,1.0
Non Planar Surfaces,Non Planar Surfaces,5,The face or BoundarySurface must be planar.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Non-Planar Surfaces', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'Is the Face or BoundarySurface planar based on thickness or normal deviation? Checks count of such errors.'}",0,5.0
Ground Higher Than Roof,MinGroundHigherThanMinRoof,5,The minimum height of the roof cannot be smaller than minimum height of the ground.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'MinGroundHigherThanMinRoof', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'Checks count of such errors.'}",0,5.0
Ground Higher Than Roof,Max Ground Higher Than Max Roof,5,The maximum height of the floor cannot be smaller than maximum height of the roof.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'MaxGroundHigherThanMaxRoof', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'Checks count of such errors.'}",0,5.0
Feature Has Spikes,Feature Has Spikes,5,"The feature contains spikes, which angle or length exceeds the given tolerance.","{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'FeatureHasSpikes', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'The feature cannot contain spikes less than X degrees and/or Y meters (user ?).'}",0,5.0
Geometry Too Small,Area Too Small,5,The area of the face must be at least X mÂ².,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'AreaTooSmall', 'value': 'text'}","{'type': 'comparison', 'operator': '>', 'referenceValue': 50, 'description': 'The area of the face must be at least X mÂ² (user request? / user parameter in FME)'}",2296,5.0
Geometry Too Small,Too Small Volume,5,The volume of the solid cannot be smaller than X m3.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'TooSmallVolume', 'value': 'text'}","{'type': 'comparison', 'operator': '>', 'referenceValue': 50, 'description': 'The volume of the solid must be greater than X m3. (user request? / user parameter in FME)'}",0,1.0
Orientation,Incorrect Surface Orientation,5,The surface must have a valid orientation.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Incorrect Surface Orientation', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'The surfaces cannot have an incorrect orientation.'}",0,5.0
Orientation,Incorrect Solid Orientation,5,The solid must have a valid orientation.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Incorrect Solid Orientation', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'The solids cannot have an incorrect orientation.'}",0,5.0
Orientation,Incorrect Area Orientation,5,The areas must have a valid orientation.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Incorrect Orientation', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'Do Areas, such as polygons, ellipses, and donuts, have an correct orientation? The area cannot have an incorrect orientation.'}",0,5.0
Missing Connections,Count Missing Connections,5,The feature must be self-closure based on its starting and ending points.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'EndtoStartPoint', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'The feature is not self-closure.'}",0,5.0
Invalid Solid Voids,Count Invalid Solid Voids,5,The solid must be valid.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'InvalidSolidVoids', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'The solid cannot contain problems.'}",0,5.0
Invalid Self-Interest Overlap Errors,Count Invalid Self-Interest Overlap Errors,5,The vertices of the feature must be correctly connected,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Self-Intersections in 2D', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50000, 'description': 'The feature cannot intersect itself.'}",11412,5.0
Invalid Solid Boundaries,Count Invalid Solid Boundaries,5,The solid boundaries must be valid.,"{'type': 'formula', 'source': 'quality-evaluation', 'column': 'error_count', 'rule': 'Invalid Solid Boundaries', 'value': 'text'}","{'type': 'comparison', 'operator': '<', 'referenceValue': 50, 'description': 'The solid boundaries cannot be invalid.'}",0,5.0
Time Accuracy,Time Accuracy LE90,5,Time accuracy at 90 % significance level,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:TemporalQuality//gmd:AccuracyTimeMeasurment//gmd:TimeAccuracy//gmd:TimeAccuracyLE90', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 0.5, 'operator': '>', 'description': 'Half length of the interval defined by an upper and a lower limit, in which the true value for the time instance lies with probability 90 %; LE90 (ISO19157, Table D.63)'}",92,5.0
Chronological Order,Time Accuracy LE99.8,5,"Time accuracy at 99,8 % significance level","{'type': 'xpath', 'source': 'dataset-metadata', 'rule': '//gmd:TemporalConsistency//gmd:ChronologicalOrder//gmd:TimeAccuracyLE99.8', 'value': 'text'}","{'type': 'comparison', 'referenceValue': 0.5, 'operator': '>', 'description': 'Half length of the interval defined by an upper and a lower limit, in which the true value for the time instance lies with probability 99.8 %; LE99.8 (ISO19157, Table D.67)'}",98,5.0
Currentness,Date Of Creation,5,Date of creation,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': ""//gmd:identificationInfo[1]//gmd:citation//gmd:CI_Date[gmd:dateType/gmd:CI_DateTypeCode/@codeListValue='creation']/gmd:date/gco:Date"", 'value': 'text'}","{'type': 'date', 'minimum': '2015-01-01', 'maximum': '2023-01-01', 'description': 'Date of creation should be included in user requested period'}",0001-01-01,1.0
Currentness,Date Of Publication,5,Date of publication,"{'type': 'xpath', 'source': 'dataset-metadata', 'rule': ""//gmd:identificationInfo[1]//gmd:citation//gmd:CI_Date[gmd:dateType/gmd:CI_DateTypeCode/@codeListValue='publication']/gmd:date/gco:Date"", 'value': 'text'}","{'type': 'date', 'minimum': '2016-01-01', 'maximum': '2023-01-01', 'description': 'Date of publication should be included in user requested period'}",2017-01-15,2.0
